연도,분기구분,질병명,현황,질병분류
2020,2,수 두,17,호흡기질환
2020,2,결 핵,7,호흡기질환
2020,2,말라리아,15,매개체질환
2020,2,수막구균성 수막염,0,호흡기질환
2020,2,쯔쯔가무시증,2,매개체질환
2020,2,렙토스피라증,0,매개체질환
2020,2,신증후군 출혈열,1,매개체질환
2020,3,A형 간염,3,기타
2020,3,세균성 이질,0,기타
2020,3,파상풍,0,기타
2020,3,홍 역,0,호흡기질환
2020,3,유행성 이하선염,0,호흡기질환
2020,3,수 두,25,호흡기질환
2020,3,결 핵,8,호흡기질환
2020,3,말라리아,20,매개체질환
2020,3,수막구균성 수막염,0,호흡기질환
2020,3,쯔쯔가무시증,0,매개체질환
2020,3,렙토스피라증,0,매개체질환
2020,3,신증후군 출혈열,3,매개체질환
2020,4,A형 간염,1,기타
2020,4,세균성 이질,0,기타
2020,4,파상풍,0,기타
2020,4,홍 역,0,호흡기질환
2020,4,유행성 이하선염,2,호흡기질환
2020,4,수 두,13,호흡기질환
2020,4,결 핵,15,호흡기질환
2020,4,말라리아,1,매개체질환
2020,4,수막구균성 수막염,0,호흡기질환
2020,4,쯔쯔가무시증,2,매개체질환
2020,4,렙토스피라증,1,매개체질환
2020,4,신증후군 출혈열,2,매개체질환
2021,1,A형 간염,1,기타
2021,1,세균성 이질,0,기타
2021,1,파상풍,0,기타
2021,1,홍 역,0,호흡기질환
2021,1,유행성 이하선염,1,호흡기질환
2021,1,수 두,21,호흡기질환
2021,1,결 핵,6,호흡기질환
2021,1,말라리아,0,매개체질환
2021,1,수막구균성 수막염,0,호흡기질환
2021,1,쯔쯔가무시증,0,매개체질환
2021,1,렙토스피라증,0,매개체질환
2021,1,신증후군 출혈열,0,매개체질환
2021,2,A형 간염,4,기타
2021,2,세균성 이질,0,기타
2021,2,파상풍,0,기타
2021,2,홍 역,0,호흡기질환
2021,2,유행성 이하선염,1,호흡기질환
2021,2,수 두,13,호흡기질환
2021,2,결 핵,4,호흡기질환
2021,2,말라리아,17,매개체질환
2021,2,수막구균성 수막염,0,호흡기질환
2021,2,쯔쯔가무시증,2,매개체질환
2021,2,렙토스피라증,0,매개체질환
2021,2,신증후군 출혈열,1,매개체질환
2021,3,A형 간염,1,기타
2021,3,세균성 이질,0,기타
2021,3,파상풍,0,기타
2021,3,홍 역,0,호흡기질환
2021,3,유행성 이하선염,0,호흡기질환
2021,3,수 두,13,호흡기질환
2021,3,결 핵,4,호흡기질환
2021,3,말라리아,18,매개체질환
2021,3,수막구균성 수막염,0,호흡기질환
2021,3,쯔쯔가무시증,1,매개체질환
2021,3,렙토스피라증,1,매개체질환
2021,3,신증후군 출혈열,2,매개체질환
2021,4,A형 간염,0,기타
2021,4,세균성 이질,0,기타
2021,4,파상풍,0,기타
2021,4,홍 역,0,호흡기질환
2021,4,유행성 이하선염,0,호흡기질환
2021,4,수 두,13,호흡기질환
2021,4,결 핵,3,호흡기질환
2021,4,말라리아,2,매개체질환
2021,4,수막구균성 수막염,0,호흡기질환
2021,4,쯔쯔가무시증,3,매개체질환
2021,4,렙토스피라증,0,매개체질환
2021,4,신증후군 출혈열,5,매개체질환
2015,2,장티푸스,0,기타
2015,2,A형 간염,1,기타
2015,2,세균성 이질,0,기타
2015,2,파상풍,0,기타
2015,2,홍 역,0,호흡기질환
2015,2,유행성 이하선염,35,호흡기질환
2015,2,수 두,38,호흡기질환
2015,2,결 핵,82,호흡기질환
2015,2,말라리아,83,매개체질환
2015,2,수막구균성 수막염,0,호흡기질환
2015,2,쯔쯔가무시증,5,매개체질환
2015,2,렙토스피라증,1,매개체질환
2015,2,신증후군 출혈열,12,매개체질환
2015,3,장티푸스,0,기타
2015,3,A형 간염,7,기타
2015,3,세균성 이질,0,기타
2015,3,파상풍,0,기타
2015,3,홍 역,0,호흡기질환
2015,3,유행성 이하선염,8,호흡기질환
2015,3,수 두,32,호흡기질환
2015,3,결 핵,67,호흡기질환
2015,3,말라리아,57,매개체질환
2015,3,수막구균성 수막염,0,호흡기질환
2015,3,쯔쯔가무시증,3,매개체질환
2015,3,렙토스피라증,2,매개체질환
2015,3,신증후군 출혈열,8,매개체질환
2015,4,장티푸스,0,기타
2015,4,A형 간염,2,기타
2015,4,세균성 이질,0,기타
2015,4,파상풍,0,기타
2015,4,홍 역,0,호흡기질환
2015,4,유행성 이하선염,11,호흡기질환
2015,4,수 두,45,호흡기질환
2015,4,결 핵,80,호흡기질환
2015,4,말라리아,8,매개체질환
2015,4,수막구균성 수막염,0,호흡기질환
2015,4,쯔쯔가무시증,27,매개체질환
2015,4,렙토스피라증,0,매개체질환
2015,4,신증후군 출혈열,25,매개체질환
2016,1,장티푸스,0,기타
2016,1,A형 간염,12,기타
2016,1,세균성 이질,0,기타
2016,1,파상풍,0,기타
2016,1,홍 역,0,호흡기질환
2016,1,유행성 이하선염,16,호흡기질환
2016,1,수 두,35,호흡기질환
2016,1,결 핵,73,호흡기질환
2016,1,말라리아,1,매개체질환
2016,1,수막구균성 수막염,0,호흡기질환
2016,1,쯔쯔가무시증,3,매개체질환
2016,1,렙토스피라증,0,매개체질환
2016,1,신증후군 출혈열,8,매개체질환
2016,2,장티푸스,0,기타
2016,2,A형 간염,5,기타
2016,2,세균성 이질,0,기타
2016,2,파상풍,0,기타
2016,2,홍 역,0,호흡기질환
2016,2,유행성 이하선염,27,호흡기질환
2016,2,수 두,29,호흡기질환
2016,2,결 핵,69,호흡기질환
2016,2,말라리아,72,매개체질환
2016,2,수막구균성 수막염,0,호흡기질환
2016,2,쯔쯔가무시증,7,매개체질환
2016,2,렙토스피라증,1,매개체질환
2016,2,신증후군 출혈열,3,매개체질환
2016,3,장티푸스,0,기타
2016,3,A형 간염,5,기타
2016,3,세균성 이질,0,기타
2016,3,파상풍,0,기타
2016,3,홍 역,0,호흡기질환
2016,3,유행성 이하선염,5,호흡기질환
2016,3,수 두,38,호흡기질환
2016,3,결 핵,59,호흡기질환
2016,3,말라리아,75,매개체질환
2016,3,수막구균성 수막염,0,호흡기질환
2016,3,쯔쯔가무시증,5,매개체질환
2016,3,렙토스피라증,2,매개체질환
2016,3,신증후군 출혈열,1,매개체질환
2016,4,장티푸스,0,기타
2016,4,A형 간염,2,기타
2016,4,세균성 이질,0,기타
2016,4,파상풍,0,기타
2016,4,홍 역,0,호흡기질환
2016,4,유행성 이하선염,3,호흡기질환
2016,4,수 두,51,호흡기질환
2016,4,결 핵,54,호흡기질환
2016,4,말라리아,7,매개체질환
2016,4,수막구균성 수막염,0,호흡기질환
2016,4,쯔쯔가무시증,20,매개체질환
2016,4,렙토스피라증,1,매개체질환
2016,4,신증후군 출혈열,14,매개체질환
2017,1,장티푸스,1,기타
2017,1,A형 간염,13,기타
2017,1,세균성 이질,0,기타
2017,1,파상풍,0,기타
2017,1,홍 역,0,호흡기질환
2017,1,유행성 이하선염,10,호흡기질환
2017,1,수 두,56,호흡기질환
2017,1,결 핵,56,호흡기질환
2017,1,말라리아,1,매개체질환
2017,1,수막구균성 수막염,1,호흡기질환
2017,1,쯔쯔가무시증,2,매개체질환
2017,1,렙토스피라증,1,매개체질환
2017,1,신증후군 출혈열,19,매개체질환
2017,2,장티푸스,0,기타
2017,2,A형 간염,8,기타
2017,2,세균성 이질,0,기타
2017,2,파상풍,0,기타
2017,2,홍 역,0,호흡기질환
2017,2,유행성 이하선염,26,호흡기질환
2017,2,수 두,40,호흡기질환
2017,2,결 핵,18,호흡기질환
2017,2,말라리아,45,매개체질환
2017,2,수막구균성 수막염,0,호흡기질환
2017,2,쯔쯔가무시증,1,매개체질환
2017,2,렙토스피라증,1,매개체질환
2017,2,신증후군 출혈열,4,매개체질환
2017,3,장티푸스,1,기타
2017,3,A형 간염,4,기타
2017,3,세균성 이질,0,기타
2017,3,파상풍,0,기타
2017,3,홍 역,0,호흡기질환
2017,3,유행성 이하선염,7,호흡기질환
2017,3,수 두,52,호흡기질환
2017,3,결 핵,37,호흡기질환
2017,3,말라리아,34,매개체질환
2017,3,수막구균성 수막염,1,호흡기질환
2017,3,쯔쯔가무시증,3,매개체질환
2017,3,렙토스피라증,4,매개체질환
2017,3,신증후군 출혈열,3,매개체질환
2017,4,장티푸스,0,기타
2017,4,A형 간염,3,기타
2017,4,세균성 이질,0,기타
2017,4,파상풍,0,기타
2017,4,홍 역,0,호흡기질환
2017,4,유행성 이하선염,13,호흡기질환
2017,4,수 두,34,호흡기질환
2017,4,결 핵,26,호흡기질환
2017,4,말라리아,3,매개체질환
2017,4,수막구균성 수막염,0,호흡기질환
2017,4,쯔쯔가무시증,9,매개체질환
2017,4,렙토스피라증,0,매개체질환
2017,4,신증후군 출혈열,2,매개체질환
2018,1,장티푸스,0,기타
2018,1,A형 간염,2,기타
2018,1,세균성 이질,0,기타
2018,1,파상풍,0,기타
2018,1,홍 역,0,호흡기질환
2018,1,유행성 이하선염,9,호흡기질환
2018,1,수 두,37,호흡기질환
2018,1,결 핵,19,호흡기질환
2018,1,말라리아,6,매개체질환
2018,1,수막구균성 수막염,0,호흡기질환
2018,1,쯔쯔가무시증,1,매개체질환
2018,1,렙토스피라증,0,매개체질환
2018,1,신증후군 출혈열,0,매개체질환
2018,2,장티푸스,0,기타
2018,2,A형 간염,4,기타
2018,2,세균성 이질,0,기타
2018,2,파상풍,0,기타
2018,2,홍 역,0,호흡기질환
2018,2,유행성 이하선염,18,호흡기질환
2018,2,수 두,71,호흡기질환
2018,2,결 핵,19,호흡기질환
2018,2,말라리아,45,매개체질환
2018,2,수막구균성 수막염,0,호흡기질환
2018,2,쯔쯔가무시증,1,매개체질환
2018,2,렙토스피라증,1,매개체질환
2018,2,신증후군 출혈열,0,매개체질환
2018,3,A형 간염,1,기타
2018,3,세균성 이질,0,기타
2018,3,파상풍,0,기타
2018,3,홍 역,0,호흡기질환
2018,3,유행성 이하선염,1,호흡기질환
2018,3,수 두,22,호흡기질환
2018,3,결 핵,11,호흡기질환
2018,3,말라리아,14,매개체질환
2018,3,수막구균성 수막염,0,호흡기질환
2018,3,쯔쯔가무시증,2,매개체질환
2018,3,렙토스피라증,3,매개체질환
2018,3,신증후군 출혈열,0,매개체질환
2018,4,A형 간염,0,기타
2018,4,세균성 이질,0,기타
2018,4,파상풍,0,기타
